route_id,origin_location,destination_location,distance_km,estimated_duration_hours,route_type,cost_per_km
RT-0001,Munich,Vienna,1570,30,Rail,1.81
RT-0002,Munich,Vienna,1450,10,Highway,1.38
RT-0003,Cologne,London,425,10,Air,1.38
RT-0004,Stuttgart,Vienna,1192,38,Sea,0.94
RT-0005,Hamburg,Warsaw,710,41,Sea,1.19
RT-0006,Munich,Brussels,786,28,Sea,0.52
RT-0007,Hamburg,Stockholm,1859,31,Air,1.46
RT-0008,Frankfurt,Warsaw,590,18,Rail,1.64
RT-0009,Berlin,Rome,1258,12,Highway,1.58
RT-0010,Frankfurt,Prague,1851,17,Highway,0.57
RT-0011,Cologne,Madrid,363,22,Rail,1.86
RT-0012,Berlin,Vienna,249,28,Rail,1.6
RT-0013,Hamburg,Warsaw,660,7,Sea,0.87
RT-0014,Cologne,Madrid,282,41,Highway,1.27
RT-0015,Berlin,Prague,1305,31,Air,1.0
RT-0016,Frankfurt,London,1517,10,Highway,1.01
RT-0017,Düsseldorf,Rome,1795,30,Sea,1.18
RT-0018,Frankfurt,Amsterdam,991,30,Rail,1.07
RT-0019,Hamburg,London,1023,37,Rail,1.09
RT-0020,Hamburg,Rome,556,32,Rail,1.4
RT-0021,Düsseldorf,Amsterdam,821,13,Air,1.8
RT-0022,Berlin,Brussels,712,8,Sea,1.55
RT-0023,Cologne,Paris,1733,40,Air,1.91
RT-0024,Stuttgart,Prague,1669,37,Highway,1.76
RT-0025,Stuttgart,Amsterdam,334,45,Highway,0.72
RT-0026,Munich,Madrid,407,46,Air,1.04
RT-0027,Munich,Prague,476,17,Sea,1.75
RT-0028,Hamburg,Stockholm,1546,39,Sea,1.37
RT-0029,Frankfurt,Rome,1943,6,Sea,1.66
RT-0030,Düsseldorf,Stockholm,719,34,Highway,1.23
RT-0031,Düsseldorf,Vienna,793,43,Rail,0.76
RT-0032,Berlin,Rome,346,24,Highway,1.36
RT-0033,Munich,Madrid,376,15,Highway,0.82
RT-0034,Cologne,Brussels,928,37,Rail,1.18
RT-0035,Berlin,Vienna,1187,33,Sea,1.27
RT-0036,Berlin,Prague,1467,7,Highway,0.59
RT-0037,Munich,London,1695,28,Highway,1.29
RT-0038,Berlin,Vienna,1851,40,Highway,1.13
RT-0039,Hamburg,Stockholm,1394,32,Rail,1.59
RT-0040,Stuttgart,Brussels,386,29,Sea,1.38
RT-0041,Frankfurt,Vienna,1612,22,Highway,1.49
RT-0042,Cologne,Amsterdam,799,48,Highway,1.01
RT-0043,Munich,Prague,711,18,Highway,1.42
RT-0044,Düsseldorf,London,1163,35,Highway,1.05
RT-0045,Stuttgart,Rome,495,23,Air,0.57
RT-0046,Munich,Rome,355,6,Rail,1.83
RT-0047,Frankfurt,Prague,1567,41,Sea,1.47
RT-0048,Stuttgart,Warsaw,1531,9,Highway,0.61
RT-0049,Berlin,Stockholm,1533,19,Rail,0.89
RT-0050,Düsseldorf,Rome,782,41,Rail,0.93
